"_id"	"store_address"	"loc_point"
"57e0d7d9b5d8c681217bf6b4"	"{ ""detail"" : ""南村街道员岗大道东8"" }"	"{ ""lng"" : ""113.37136991828"", ""lat"" : ""23.022606015089"" }"
"57e4d34eb5d8c6a3217bf6ae"	"{ ""detail"" : ""番禺区富豪山庄富豪商业街07号"" }"	"{ ""lat"" : 23.0402214957475, ""lng"" : 113.07986430701 }"
"57e80d77b5d8c6ba6a7bf6a1"	"{ ""detail"" : ""市桥环城东路36号"" }"	"{ ""lat"" : 22.9381480854808, ""lng"" : 113.378514386335 }"
"57ee1e56b5d8c6d86a7bf6a7"	"{ ""detail"" : ""汇景大道622号"" }"	"{ ""lat"" : 22.9223289673928, ""lng"" : 113.390211946411 }"
"57fa0234b5d8c68e217bf6be"	"{ ""detail"" : ""大石街景华南路51号（敏捷四季花园）"" }"	"{ ""lng"" : ""113.32405701868"", ""lat"" : ""23.021445917129"" }"
"57fa5774b5d8c698217bf6ce"	"{ ""detail"" : ""测试地址勿发货"" }"	"[ ]"
"57fb408cb5d8c6ab257bf6e3"	"{ ""detail"" : ""市桥华侨城解放路208-13号"" }"	"{ ""lat"" : 23.1234722241315, ""lng"" : 113.294550359633 }"
"57fe7457b5d8c68d217bf6f7"	"{ ""detail"" : ""亚运城"" }"	"{ ""lat"" : 22.9462522896699, ""lng"" : 113.484164632718 }"
"5801e3eab5d8c696217bf707"	"{ ""detail"" : ""桥南街蚬涌村邮电大街十巷21号"" }"	"{ ""lat"" : 22.9200039184154, ""lng"" : 113.398030007956 }"
"580afe5db5d8c6a3767bf6bc"	"{ ""detail"" : ""丽江花园丽波楼C14"" }"	"{ ""lat"" : 23.0415499616961, ""lng"" : 113.308918732006 }"
"580b2c89b5d8c68a217bf753"	"{ ""detail"" : ""洛浦街道上漖海滨花园海悦阁7号铺"" }"	"{ ""lat"" : 23.0425128515414, ""lng"" : 113.314825767157 }"
"580c58d0b5d8c69c217bf75e"	"{ ""detail"" : ""市桥街东兴路420号"" }"	"{ ""lat"" : 22.934756590786, ""lng"" : 113.394412422974 }"
"5810908eb5d8c6c96a7bf73c"	"{ ""detail"" : ""清颖大街一巷18号"" }"	"{ ""lat"" : 23.0037652634522, ""lng"" : 113.576937502536 }"
"5812f6e1b5d8c686217bf77e"	"{ ""detail"" : ""洛溪新城洛涛南区30号铺"" }"	"{ ""lng"" : ""113.31111219374"", ""lat"" : ""23.046499358782"" }"
"5814748db5d8c6c86a7bf74f"	"{ ""detail"" : ""长华商业街A28"" }"	"{ ""lat"" : 22.9777023256289, ""lng"" : 113.337128639436 }"
"5817f62fb5d8c6a0217bf793"	"{ ""detail"" : ""广州碧桂园"" }"	"{ ""lng"" : 113.295548721106, ""lat"" : 23.0353616738316 }"
"581d8419b5d8c694217bf78d"	"{ ""detail"" : ""市桥街平康路164号"" }"	"{ ""lat"" : 22.9463670342834, ""lng"" : 113.382155313786 }"
"5823dd47b5d8c687217bf7c7"	"{ ""detail"" : ""南环路123号 尚上名筑AB区商铺"" }"	"{ ""lat"" : 22.9617101178128, ""lng"" : 113.495285892231 }"
"5823f3a1b5d8c6d86a7bf7f0"	"{ ""detail"" : ""石楼镇莲港大道76号"" }"	"{ ""lat"" : 22.9736922668943, ""lng"" : 113.494019408938 }"
"58264bb2b5d8c687217bf7dc"	"{ ""detail"" : ""钟村长华创意谷18栋07b"" }"	"{ ""lat"" : 22.9345907957979, ""lng"" : 113.416799529649 }"
"58292d90b5d8c6ba6a7bf7cc"	"{ ""detail"" : ""广州市番禺区南村雅居乐观景路477号"" }"	"{ ""lat"" : 23.0141196119279, ""lng"" : 113.376679771603 }"
"58293aa3b5d8c6d36a7bf7f4"	"{ ""detail"" : ""雅居乐观景路花巷商业街51号"" }"	"{ ""lat"" : 22.9596809198028, ""lng"" : 113.370427905713 }"
"5829cd51b5d8c682217bf7dd"	"{ ""detail"" : ""南村镇广州雅居乐花园俊园35号迹派宠物"" }"	"{ ""lat"" : 23.0154872952895, ""lng"" : 113.374308267515 }"
"582d7041b5d8c6b0697bf7f9"	"{ ""detail"" : ""東鄉村"" }"	"{ ""lat"" : 22.9345907957979, ""lng"" : 113.416799529649 }"
"582eb9a5b5d8c68e217bf801"	"{ ""detail"" : ""洛溪新城洛涛南区25栋76号铺"" }"	"{ ""lat"" : 23.0510924839496, ""lng"" : 113.303574871529 }"
"58323d85b5d8c6c66a7bf804"	"{ ""detail"" : ""汉溪大道南国奥林匹克花园小资天堂5座1层15号"" }"	"{ ""lat"" : 22.9886340222292, ""lng"" : 113.329036981879 }"
"58328ef5b5d8c68b217bf84c"	"{ ""detail"" : ""观景路477号"" }"	"{ ""lat"" : 23.0141196119279, ""lng"" : 113.376679771603 }"
"583297cab5d8c6df6a7bf7f1"	"{ ""detail"" : ""钟村"" }"	"{ ""lat"" : 22.9798450837371, ""lng"" : 113.32124534938 }"
"5838f3d7b5d8c68d217bf852"	"{ ""detail"" : ""捷进中路64号"" }"	"{ ""lat"" : 22.9554100079, ""lng"" : 113.363734999666 }"
"583d14b7b5d8c69b217bf88f"	"{ ""detail"" : ""北桥路72_12"" }"	"{ ""lng"" : 113.259953155979, ""lat"" : 22.860806707293 }"
"583d24e6b5d8c6b06a7bf87f"	"{ ""detail"" : ""市桥繁华路307-309"" }"	"{ ""lat"" : 22.9564903004594, ""lng"" : 113.37569955141 }"
"583e95f2b5d8c6db6a7bfc68"	"{ ""detail"" : ""番禺大道北618号"" }"	"{ ""lat"" : 22.9956794032757, ""lng"" : 113.358206745813 }"
"58414cb9b5d8c6bc6a7bf883"	"{ ""detail"" : ""小谷围街大学城北亭广场E107"" }"	"{ ""lat"" : 23.059209965579, ""lng"" : 113.379740776373 }"
"58479506b5d8c69e217bf8b8"	"{ ""detail"" : ""番禺区市广路232号富豪商业街07号"" }"	"{ ""lat"" : 23.0402214957475, ""lng"" : 113.07986430701 }"
"5847b5acb5d8c6c56a7bfb98"	"{ ""detail"" : ""星光下道单身狗宠物店"" }"	"{ ""lat"" : 23.0477674556008, ""lng"" : 113.385768298546 }"
"58490d56b5d8c686217bf8b6"	"{ ""detail"" : ""清河市场"" }"	"{ ""lat"" : 22.9407816798527, ""lng"" : 113.405706728317 }"
"584e6e0db5d8c6a56a7bf8fc"	"{ ""detail"" : ""钟村锦绣生态园74号"" }"	"{ ""lat"" : 22.9742071252719, ""lng"" : 113.316523406468 }"
"584f63f6b5d8c6a1217bf922"	"{ ""detail"" : ""钟村镇长江数码花园66号铺"" }"	"{ ""lat"" : 22.9786089309351, ""lng"" : 113.314436283447 }"
"584fce48b5d8c69c217bf8f6"	"{ ""detail"" : ""宠物街b12"" }"	"{ ""lat"" : 23.0245206986445, ""lng"" : 113.342099601618 }"
"5858ba08b5d8c6ef6a7bf95b"	"{ ""detail"" : ""光明北路雍雅园商业街13号"" }"	"{ ""lng"" : ""113.369400000000"", ""lat"" : ""22.959630000000"" }"
"5859fd14b5d8c6da6a7bf959"	"{ ""detail"" : ""清河路石岗东村段163"" }"	"{ ""lng"" : ""113.40330924074"", ""lat"" : ""22.945481613488"" }"
"585c96fcb5d8c6b06a7bf9bc"	"{ ""detail"" : ""迎宾路68号东海花园86号铺"" }"	"{ ""lat"" : 23.0414143795737, ""lng"" : 113.321603863109 }"
"58633663b5d8c6a8217bf9e2"	"{ ""detail"" : ""钟村镇万得.创意园11号铺"" }"	"{ ""lat"" : 22.9807216929022, ""lng"" : 113.333409394117 }"
"58648032b5d8c6f16a7bf9c0"	"{ ""detail"" : ""市广路万得创意园16号"" }"	"{ ""lat"" : 22.9345907957979, ""lng"" : 113.416799529649 }"
"586bda51b5d8c683217bfc40"	"{ ""detail"" : ""洛浦南浦碧桂园"" }"	"{ ""lat"" : 23.0363374203645, ""lng"" : 113.298003458589 }"
"587736f7b5d8c6b0697bfa27"	"{ ""detail"" : ""大学城贝岗村商业街自编3号22号之二"" }"	"{ ""lat"" : 23.0301110862161, ""lng"" : 113.05756867148 }"
"58782c12b5d8c6e06a7bfd32"	"{ ""detail"" : ""华南碧桂园"" }"	"{ ""lat"" : 23.0041106220145, ""lng"" : 113.367405657436 }"
"587cc5f0b5d8c6c218bacdff"	"{ ""detail"" : ""德贤路818号3号铺"" }"	"{ ""lng"" : ""113.36447389996"", ""lat"" : ""22.919157903374"" }"
"58953fffb5d8c6ca18bace7b"	"{ ""detail"" : ""南村镇员岗大道10号广州七号小镇创意园G105"" }"	"{ ""lat"" : 23.4040069524527, ""lng"" : 113.211808615018 }"
"58982f5ab5d8c6d218bacec1"	"{ ""detail"" : ""番禺桥南福景路880"" }"	"{ ""lat"" : 22.9244975396791, ""lng"" : 113.370639665966 }"
"589846d9b5d8c6c718bacec6"	"{ ""detail"" : ""福景路989号"" }"	"{ ""lng"" : ""113.37046060044"", ""lat"" : ""22.925063725322"" }"
"589a7d07b5d8c6ca18baceed"	"{ ""detail"" : ""番禺洛溪新城北园西路一栋16号"" }"	"{ ""lat"" : 23.0500063655683, ""lng"" : 113.302597973271 }"
